[07:09:01] 🚀 CUDA GPU: Tesla V100-SXM2-32GB
[07:09:01] Inference Server running on: cuda:0
[07:09:01] Inference Server: 等待 Trainer 注入已完成手术的初始权重...
[07:09:16] Worker 0 started.
[07:09:17] Worker 1 started.
[07:09:17] Worker 2 started.
[07:09:18] Worker 3 started.
[07:09:18] Worker 4 started.
[07:09:19] Worker 5 started.
[07:09:19] Worker 6 started.
[07:09:20] Worker 7 started.
[07:09:20] Worker 8 started.
[07:09:21] Worker 9 started.
[07:09:21] Worker 10 started.
[07:09:22] Worker 11 started.
[07:09:22] Worker 12 started.
[07:09:23] Worker 13 started.
[07:09:23] Worker 14 started.
[07:09:24] Worker 15 started.
[07:09:24] 🚀 CUDA GPU: Tesla V100-SXM2-32GB
[07:09:24] Trainer running on: cuda:0
[07:09:24] Worker 16 started.
[07:09:25] Worker 17 started.
[07:09:25] ✅ 成功加载 PPO Elite 模型，开启 Self-Play 进阶训练！
[07:09:25] PPO Conditioned Training (Domain Randomization) Start.
[07:09:25] ✅ Inference Server: 初始权重接收完毕，开启高频推理循环！
[07:09:25] Worker 18 started.
[07:09:26] Worker 19 started.
[07:09:31] STEPS: 1030 | P_LOSS: 0.0032 | V_LOSS: 1.6057 | ENT: 0.0200 | REWARD: -0.64
[07:09:34] STEPS: 2061 | P_LOSS: 0.0036 | V_LOSS: 2.0398 | ENT: 0.0200 | REWARD: 0.42
[07:09:36] STEPS: 3089 | P_LOSS: 0.0050 | V_LOSS: 1.7540 | ENT: 0.0199 | REWARD: -0.68
[07:09:40] STEPS: 4115 | P_LOSS: 0.0051 | V_LOSS: 1.9182 | ENT: 0.0199 | REWARD: -0.65
[07:09:43] STEPS: 5144 | P_LOSS: 0.0049 | V_LOSS: 1.8637 | ENT: 0.0199 | REWARD: 0.06
[07:09:46] STEPS: 6173 | P_LOSS: 0.0040 | V_LOSS: 1.7728 | ENT: 0.0199 | REWARD: -0.23
[07:09:49] STEPS: 7198 | P_LOSS: 0.0385 | V_LOSS: 1.8530 | ENT: 0.0199 | REWARD: -0.27
[07:09:52] STEPS: 8227 | P_LOSS: 0.0102 | V_LOSS: 1.9079 | ENT: 0.0199 | REWARD: -0.14
[07:09:55] STEPS: 9253 | P_LOSS: 0.0063 | V_LOSS: 1.7765 | ENT: 0.0198 | REWARD: -0.36
[07:09:58] STEPS: 10278 | P_LOSS: 0.0038 | V_LOSS: 1.8230 | ENT: 0.0198 | REWARD: -0.36
[07:10:01] STEPS: 11302 | P_LOSS: 0.0081 | V_LOSS: 1.8496 | ENT: 0.0198 | REWARD: -0.39
[07:10:04] STEPS: 12329 | P_LOSS: 0.0054 | V_LOSS: 1.8434 | ENT: 0.0198 | REWARD: -0.76
[07:10:07] STEPS: 13356 | P_LOSS: 0.0259 | V_LOSS: 1.6912 | ENT: 0.0198 | REWARD: -0.86
[07:10:10] STEPS: 14382 | P_LOSS: 0.0066 | V_LOSS: 1.9142 | ENT: 0.0197 | REWARD: 0.01
[07:10:13] STEPS: 15406 | P_LOSS: 0.0026 | V_LOSS: 1.7945 | ENT: 0.0197 | REWARD: -0.73
[07:10:16] STEPS: 16444 | P_LOSS: 0.0047 | V_LOSS: 1.7025 | ENT: 0.0197 | REWARD: -1.53
[07:10:20] STEPS: 17477 | P_LOSS: 0.0045 | V_LOSS: 1.7586 | ENT: 0.0197 | REWARD: -0.73
[07:10:23] STEPS: 18501 | P_LOSS: 0.0296 | V_LOSS: 1.5817 | ENT: 0.0197 | REWARD: -0.41
[07:10:26] STEPS: 19532 | P_LOSS: 0.0107 | V_LOSS: 1.9559 | ENT: 0.0196 | REWARD: -0.72
[07:10:29] STEPS: 20557 | P_LOSS: 0.0051 | V_LOSS: 1.9802 | ENT: 0.0196 | REWARD: 0.08
[07:10:32] STEPS: 21582 | P_LOSS: 0.0046 | V_LOSS: 1.6957 | ENT: 0.0196 | REWARD: -0.91
[07:10:35] STEPS: 22614 | P_LOSS: 0.0049 | V_LOSS: 1.8177 | ENT: 0.0196 | REWARD: -0.44
[07:10:38] STEPS: 23639 | P_LOSS: 0.0103 | V_LOSS: 1.7392 | ENT: 0.0196 | REWARD: -0.93
[07:10:41] STEPS: 24666 | P_LOSS: 0.0162 | V_LOSS: 1.6523 | ENT: 0.0196 | REWARD: -0.31
[07:10:44] STEPS: 25696 | P_LOSS: 0.0063 | V_LOSS: 1.6769 | ENT: 0.0195 | REWARD: -0.32
[07:10:47] STEPS: 26722 | P_LOSS: 0.0064 | V_LOSS: 1.8370 | ENT: 0.0195 | REWARD: -0.87
[07:10:50] STEPS: 27748 | P_LOSS: 0.0066 | V_LOSS: 1.6434 | ENT: 0.0195 | REWARD: -0.47
[07:10:53] STEPS: 28774 | P_LOSS: 0.0075 | V_LOSS: 1.9385 | ENT: 0.0195 | REWARD: -0.01
[07:10:56] STEPS: 29807 | P_LOSS: 0.0206 | V_LOSS: 1.8158 | ENT: 0.0195 | REWARD: -1.28
[07:10:59] STEPS: 30833 | P_LOSS: 0.0051 | V_LOSS: 1.7310 | ENT: 0.0194 | REWARD: -0.83
[07:11:02] STEPS: 31859 | P_LOSS: 0.0053 | V_LOSS: 1.6426 | ENT: 0.0194 | REWARD: -0.37
[07:11:05] STEPS: 32892 | P_LOSS: 0.0049 | V_LOSS: 1.9421 | ENT: 0.0194 | REWARD: -0.01
[07:11:09] STEPS: 33917 | P_LOSS: 0.0087 | V_LOSS: 1.8570 | ENT: 0.0194 | REWARD: -0.71
[07:11:11] STEPS: 34945 | P_LOSS: 0.0018 | V_LOSS: 1.8369 | ENT: 0.0194 | REWARD: -0.79
[07:11:14] STEPS: 35969 | P_LOSS: 0.0034 | V_LOSS: 1.8353 | ENT: 0.0194 | REWARD: -0.37
[07:11:17] STEPS: 37003 | P_LOSS: 0.0190 | V_LOSS: 1.9737 | ENT: 0.0193 | REWARD: -0.04
[07:11:21] STEPS: 38031 | P_LOSS: 0.0048 | V_LOSS: 1.6959 | ENT: 0.0193 | REWARD: -0.49
